Concept	Form	Year	Register	Author	AuthorGender	Source	Text	sentiment	confidence	Sentiment_Neutral	Sentiment_Positive	Gender	ConceptPair
woman	女人	1991	NEWS	邵建武	M	XIN	何韵兰的作品就象她所追求的:用一个女人的心去感受大自然和女人之间的和谐、深邃、神秘、纯真、富有生命力而毫不喧嚣的内在精神世界。	Positive	0.908848524093628	No	Yes	Female	Adult
son	儿子	1991	NEWS	蒋永武	M	XIN	我国著名雕塑艺术家、济南军区文化部创作员仇志海及其儿子、青年雕塑艺术家仇世森的《仇氏黑陶艺术展》,于1月10日始在日本东京举行。	Positive	0.908429980278015	No	Yes	Male	Child
son	儿子	1991	NEWS	沈孝泉	M	XIN	这封由柬埔寨民族政府总理宋双、柬埔寨负责外交事务的副主席乔森潘和柬埔寨主席西哈努克亲王的儿子诺罗敦・拉那烈共同签署的信件,昨天已递交给法国外长迪马和印尼外长阿拉塔斯。	Neutral	0.876988053321838	Yes	NA	Male	Child
mother	妈妈	1991	NEWS	阎振国	M	XIN	眼下,不少年轻的妈妈开始为孩子缝制或购买过年的新衣服;一些老人开始筹划采购春节请客、自食的年货。	Positive	0.954195261001587	No	Yes	Female	Parent
brother	兄弟	1991	NEWS	黄勇	M	XIN	中国人民和泰国人民不是外人,而是当今少有的特别亲密的兄弟。	Positive	0.981104910373688	No	Yes	Male	Sibling
brother	弟弟	1991	NEWS	赵兰英	F	XIN	在出版大家庭中,漓江也许只是个小弟弟。	Positive	0.500174999237061	No	Yes	Male	Sibling
mother	母亲	1991	NEWS	杜文峰	M	XIN	16岁的边巴同学说:我来太原两年了,很想家,想父母亲人。	Positive	0.994262874126434	No	Yes	Female	Parent
son	儿子	1991	NEWS	刘广军	M	XIN	为了不让失主着急,孔繁昌的两个儿子连夜骑自行车直奔10多公里外的龙镇,挨家旅店询问,终于找到了失主。	Neutral	0.809378087520599	Yes	NA	Male	Child
brother	兄弟	1991	NEWS	刘广军	M	XIN	王文庸拿出200元钱酬谢他们,两兄弟却说:“如果为钱,我们就不找你了。	Negative	0.827031850814819	No	No	Male	Sibling
husband	丈夫	1991	NEWS	刘广军	M	XIN	一次,一名妇女不堪丈夫虐待,吃了安眠药,昏倒在候车室。	Negative	0.995782256126404	No	No	Male	Spouse
brother	兄弟	1991	NEWS	王志纲	M	XIN	广东省有关领导希望内地兄弟省市有关部门通力协作,配合劝阻本省民工不要再盲目南下。	Positive	0.665173172950745	No	Yes	Male	Sibling
son	儿子	1991	NEWS	王玉娟	F	XIN	他的爱人是骨科医院的一位护士,温柔、贤慧,活泼可爱的儿子今年已满周岁。	Positive	0.993359982967377	No	Yes	Male	Child
father	父亲	1991	NEWS	王玉娟	F	XIN	地震后,当时15岁的刘全泰被父亲生前所在单位――唐山机车车辆厂抚养。	Positive	0.903493881225586	No	Yes	Male	Parent
woman	女人	1991	NEWS	王彪	M	XIN	河南省各级妇联则采取召开经验交流会、研讨会、报告会等形式,提高各级领导对妇女工作的认识;通过开展“提高妇女素质年”和妇女“建功成才”等群众性活动,以及大张旗鼓表彰一批优秀妇女人才,为培养选拔女干部创造了一个良好的社会舆论环境。	Positive	0.988577485084534	No	Yes	Female	Adult
mother	妈妈	1991	NEWS	罗康雄	M	XIN	在这些“婆婆妈妈”的琐事中,体现了一个老共产党员的本色。	Positive	0.753333568572998	No	Yes	Female	Parent
mother-in-law	婆婆	1991	NEWS	罗康雄	M	XIN	在这些“婆婆妈妈”的琐事中,体现了一个老共产党员的本色。	Positive	0.729423344135284	No	Yes	Female	Parent_In_Law
husband	丈夫	1991	NEWS	王玉娟	F	XIN	杨福云坚定地说:“我要选择一位能和我共同绿化这块荒山的人做丈夫。	Positive	0.895444750785828	No	Yes	Male	Spouse
mother	妈妈	1991	NEWS	李忠诚	M	XIN	《英雄少年》这部大合唱是由《小小探险队》、《妈妈的爱》、《心中的立友桥》、《再向火山行》四个乐章及《序歌》和《尾声》组成的。	Positive	0.993243157863617	No	Yes	Female	Parent
wife	妻子	1991	NEWS	邵建武	M	XIN	她们是妻子,又是母亲,在杂乱的家务之间,寻找想象和思维的空间。	Positive	0.685508549213409	No	Yes	Female	Spouse
mother	母亲	1991	NEWS	邵建武	M	XIN	她们是妻子,又是母亲,在杂乱的家务之间,寻找想象和思维的空间。	Positive	0.995304107666016	No	Yes	Female	Parent
brother	兄弟	1991	NEWS	朱冬菊	F	XIN	各少数民族尽管生活习俗不同、经历各异,但长期的共同奋斗使各民族结成了休戚与共、息息相关的兄弟关系;在社会主义祖国大家庭里,有着共同的利益、共同的理想与追求。	Positive	0.998497486114502	No	Yes	Male	Sibling
father-in-law	公公	1991	NEWS	郭玲春	F	XIN	当年茅公公务繁杂,仍伏案批注,陈荒煤说,这忘我的精神与品格当今更应发扬,使繁荣创作不至于成为空话。	Negative	0.929335236549377	No	No	Male	Parent_In_Law
brother	兄弟	1991	NEWS	杨国强	M	XIN	国务院总理李鹏今天在这里亲切会见科威特内阁事务国务大臣阿卜杜・拉赫曼・阿瓦迪时说,中国政府和人民将在力所能及的范围内,在科威特战后的修复和重建工作中对兄弟的科威特人民提供帮助。	Positive	0.616067886352539	No	Yes	Male	Sibling
brother	兄弟	1991	NEWS	杨国强	M	XIN	国务院总理李鹏今天在这里亲切会见科威特内阁事务国务大臣阿卜杜・拉赫曼・阿瓦迪时说,中国政府和人民将在力所能及的范围内,在科威特战后的修复和重建工作中对兄弟的科威特人民提供帮助。	Positive	0.616067886352539	No	Yes	Male	Sibling
